base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Populacao DATASUS,POP24.dbf,2024,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR24.zip::POP24.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR15.DBF,2015,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR15.DBF,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR15.zip,2015,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR15.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR15.DBF,2015,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR15.zip::POPTBR15.DBF,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR16.DBF,2016,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR16.DBF,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR16.zip,2016,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR16.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR16.DBF,2016,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR16.zip::POPTBR16.DBF,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR17.dbf,2017,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR17.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR17.zip,2017,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR17.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR17.dbf,2017,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR17.zip::POPTBR17.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR18.dbf,2018,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR18.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR18.zip,2018,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR18.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR18.dbf,2018,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR18.zip::POPTBR18.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR19.dbf,2019,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR19.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR19.zip,2019,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR19.zip,Base complementar; nao substitui o denominador SINASC.
